Galaxy		ra		dec		dm	Rh	ell	PA	vlos	vlos_sd	fe_h_mu	type	fe_h_sd	References
AntliaII	143.88670	-36.76730	20.60	76.20	0.38	156.0	290.70	5.71	-1.36	UFD	0.57	1;1;1;1;1;1;1;1;1
AquariusII	338.48130	-9.32740	20.16	5.10	0.39	121.0	-71.10	5.40	-2.30	UFD	NaN	2;2;2;2;2;2;2;2;-
BootesI		210.02250	14.50060	19.11	12.80	0.26	13.8	101.80	2.40	-2.55	UFD	0.37	3;4;3;5;5;6;6a;7;7
BootesII	209.51792	12.85250	18.10	2.60	0.34	-28.5	-117.00	10.50	-2.79	UFD	0.35	8;8;8;8;8;9;9;10;10
BootesIII	209.30000	26.80000	18.35	30.00	0.50	90.0	197.50	14.00	-2.10	UFD	0.55	11;11;11b;12c;11;13;13;13;14
BootesIV	233.68920	43.72610	21.60	7.60	0.64	3.0	NaN	NaN	NaN	UFD	NaN	15;15;15;15;15;-;-;-;-
CanesVenaticiI	202.00910	33.55210	21.62	7.48	0.45	80.0	30.90	7.60	-1.91	UFD	0.44	16;17;16;16;16;18;18;19;19
CanesVenaticiII	194.29270	34.32260	21.02	1.43	0.41	9.0	-128.90	4.60	-2.12	UFD	0.59	16;20;16;16;16;18;18;19;19
Carina		100.40650	-50.95930	20.12	10.20	0.37	60.0	222.90	6.60	-1.72	dSph	0.24	16;21;16;16;16;22;22;23;23
CarinaII	114.10670	-57.99910	17.79	8.69	0.34	170.0	477.20	3.40	-2.44	UFD	0.22	24;24;24;24;24;25;25;25;25
CarinaIII	114.62980	-57.89970	17.22	3.75	0.55	150.0	284.60	5.60	-1.80	UFD	1.15	24;24;24;24;24;25;25;24;26
CentaurusI	189.58500	-40.90200	20.33	2.90	0.40	20.0	NaN	NaN	-1.80	UFD	NaN	27;27;27;27;27;-;27;-;-
CetusII		19.47000	-17.42000	17.38	1.90	0.00	NaN	NaN	NaN	-1.28	UFD	NaN	28;28;28;28;28;-;-;29;-
CetusIII	31.33100	-4.27000	22.00	1.23	0.76	101.0	NaN	NaN	NaN	UFD	NaN	30;30;30;30;30;-;-;-;-
ColumbaI	82.85696	-28.04253	21.31	2.20	0.30	24.0	153.70	0.00	-2.37	UFD	0.71	31;31;31;31;31;32;32;32;32
ComaBerenices	186.74580	23.90690	18.13	5.67	0.37	-58.0	98.10	4.60	-2.25	UFD	0.43	16;33;16;16;16;18;18;19;19
CraterI		174.06600	-10.87780	20.81	0.43	0.00	NaN	149.30	0.00	-1.68	UFD	0.00	34;35;35;35;35;36;36;36;36
CraterII	177.32800	-18.41800	20.33	31.20	0.12	135.0	87.50	2.70	-1.98	UFD	0.22	37;37;38;37;37;39;39;39;39
Delve1		247.72500	-0.97200	16.39	0.97	0.20	21.0	NaN	NaN	-1.50	UFD	NaN	27;27;27;27;27;-;-;27;-
Delve2		28.77200	-68.25300	19.26	1.04	0.03	74.0	NaN	NaN	-2.00	UFD	NaN	40;40;40;40;40;-;40;-;-
DESJ0225+0304	36.42670	3.06950		16.88	2.68	0.61	31.3	NaN	NaN	-1.26	UFD	NaN	41;41;41;41;41;-;-;-;-
Draco		260.06840	57.91850	19.53	9.61	0.30	87.0	-292.30	9.00	-1.98	dSph	0.35	16;42;16;16;16;43;43;19;19
DracoII		238.17400	64.57900	16.67	3.00	0.23	76.0	-342.50	0.00	-2.70	UFD	0.24	44;44;44;44;44;44;44;44;44
EridanusII	56.08375	-43.53380	22.80	2.31	0.48	72.6	75.60	6.90	-2.38	UFD	0.47	45;45;45;45;45;46;46;46;46
EridanusIII	35.68970	-52.28370	19.80	0.32	0.44	109.0	NaN	NaN	-2.40	UFD	NaN	47;47;47;47;47;-;-;47;-
Fornax		39.96667	-34.51361	20.72	18.50	0.30	46.8	54.10	11.40	-1.04	dSph	0.33	48;49;48;48;48;48;48;19;19
GrusI		344.16600	-50.16800	20.51	4.16	0.44	153.0	-140.50	0.00	-1.88	UFD	0.00	50;51;50;50;50;52;52;50;50
GrusII		331.02500	-46.44200	18.70	5.90	0.00	NaN	-110.00	0.00	-2.51	UFD	0.00	73;73;73;73;73;73;73;73;73
Hercules	247.77220	12.78520	20.68	5.83	0.70	-74.0	45.00	5.10	-2.39	UFD	0.51	16;74;16;16;16;18;18;19;19
HorologiumI	43.88130	-54.11600	19.50	1.71	0.32	53.0	112.80	4.90	-2.76	UFD	0.17	16;53;16;16;16;54;54;54;54
HorologiumII	49.10770	-50.04860	19.46	2.17	0.71	137.0	168.70	0.00	-1.87	UFD	0.00	16;55;16;16;16;32;32;32;32
HydraII		185.42510	-31.98600	20.89	1.65	0.25	13.0	303.10	0.00	-2.02	UFD	0.40	16;56;16;16;16;36;36;36;36
HydrusI		37.38920	-79.30890	17.20	7.42	0.21	97.0	80.40	2.69	-2.52	UFD	0.41	57;57;57;57;57;57;57;57;57
IndusI		317.20821	-51.16350	20.10	0.42	0.12	35.0	NaN	NaN	NaN	UFD	NaN	58;58;58;58;58;-;-;-;-
IndusII		309.72000	-46.16000	21.65	2.90	0.00	NaN	NaN	NaN	NaN	UFD	NaN	28;28;28;28;28;-;-;-;-
LeoI		152.11460	12.30590	22.15	3.53	0.31	78.0	282.90	9.20	-1.45	dSph	0.32	16;59;16;16;16;60;60;19;19
LeoII		168.36270	22.15290	21.68	2.46	0.07	40.0	78.30	7.40	-1.63	dSph	0.40	16;61;16;16;16;62;62;19;19
LeoIV		173.24050	-0.54530	20.94	2.61	0.19	-28.0	131.40	3.60	-2.47	UFD	0.42	16;63;16;16;16;64;64;64;64
LeoV		172.78570	2.21940		21.25	1.05	0.45	-64.0	173.00	0.00	-2.28	UFD	0.34	16;65;16;16;16;64;64d;64;64
LeoT		143.72920	17.04820	23.06	1.27	0.24	-104.0	38.10	7.50	-1.74	UFD	0.54	16;66;16;16;16;18;18;19;19
PegasusIII	336.10200	5.40500		21.66	0.85	0.38	114.0	-222.90	5.40	-2.55	UFD	NaN	67;67;67;67;67;67;67;67;67
Phoenix		27.77625	-44.44472	23.06	2.30	0.30	8.0	-21.20	9.30	-1.49	late-type	0.51	68e;70;70;70;70;71;71;71;71
PhoenixII	354.99279	-54.40495	19.60	1.50	0.40	156.0	32.40	11.00	-2.51	UFD	0.33	72;72;72;72;72;32;32;32;32
PictorI		70.94900	-50.28540	20.30	0.89	0.57	69.0	NaN	NaN	NaN	UFD	NaN	16;53;16;16;16;-;-;-;-
PictorII	101.18000	-59.89700	18.30	3.80	0.13	14.0	NaN	NaN	-1.80	UFD	NaN	75;75;75;75;75;-;-;-;-
PiscesII	344.63450	5.95260		21.31	1.18	0.39	98.0	-226.50	5.40	-2.45	UFD	0.48	16;76;16;16;16;36;36;36;36
ReticulumII	53.94929	-54.04661	17.50	6.30	0.60	68.0	64.70	3.22	-2.46	UFD	0.29	72;72;72;72;72;54;54;54;54
ReticulumIII	56.36000	-60.45000	19.81	2.40	0.00	NaN	274.20	0.00	-2.81	UFD	0.35	28;28;28;28;28;32;32;32;32
SagittariusII	298.16471	-22.06505	19.20	1.70	0.12	103.0	-177.20	1.70	-2.23	UFD	0.20	72;72;121;121;121;77;77;77;77
Sculptor	15.01830	-33.71860	19.62	12.43	0.36	92.0	110.60	10.10	-1.68	dSph	0.46	16;78;16;16;16;79;19;19
Segue1		151.75040	16.07560	16.80	3.93	0.32	75.0	208.50	3.70	-2.71	UFD	0.95	16;80;16;16;16;81;81;82;82
Segue2		34.82260	20.16240	17.68	3.64	0.21	166.0	-40.20	0.00	-2.22	UFD	0.43	16;83;16;16;16;84;84;84;84
Sextans		153.26800	-1.61800	19.64	21.40	0.27	52.0	226.00	8.40	-1.90	dSph	0.60	85;86;85;85;85;87;87;87;87
TriangulumII	33.32520	36.17020	17.27	2.34	0.48	28.0	-381.70	0.00	-2.24	UFD	0.53	16;31;16;16;16;88;88;88;88
TucanaII	342.97960	-58.56890	18.80	9.83	0.39	107.0	-129.10	8.60	-2.23	UFD	0.29	53;53;53;53;52;52;89;89
TucanaIII	359.10750	-59.58332	16.80	5.10	0.20	25.0	-101.20	0.90	-2.42	UFD	0.19	72;72;72;72;72;90;90;90;90
TucanaIV	0.71700		-60.83000	18.36	9.30	0.39	27.0	15.90	4.30	-2.49	UFD	0.00	73;73;73;73;73;73;73;73;73
TucanaV		354.34700	-63.26600	18.70	2.10	0.51	29.0	-36.20	0.00	-2.17	UFD	NaN	73;73;73;73;73;73;73;73;73
UrsaMajorI	158.77060	51.94790	19.94	8.13	0.59	67.0	-55.30	7.60	-2.10	UFD	0.65	16;91;16;16;16;18;18;19;19
UrsaMajorII	132.87260	63.13350	17.70	13.90	0.55	-76.0	-116.50	6.70	-2.18	UFD	0.66	16;92;16;16;16;18;18;19;19
UrsaMinor	227.24200	67.22210	19.41	18.20	0.55	50.0	-246.90	8.00	-2.13	dSph	0.43	16;93;16;16;16;43;43;19;19
VirgoI		180.03800	0.68100		19.80	1.76	0.59	62.0	NaN	NaN	NaN	UFD	NaN	94;94;94;94;94;-;-;-;-
Willman1	162.34360	51.05010	17.90	2.52	0.47	74.0	-14.10	4.00	-2.10	UFD	NaN	16;95;16;16;16;96;96;96;-
LeoA		149.86042	30.74639	24.28	2.30	0.42	116.0	26.20	9.00	-1.70	late-type	0.42	68;99;99;99;99;100;100;100;19
IC1613		16.19917	2.11778		24.40	7.57	0.20	90.0	-234.00	11.30	-1.10	late-type	0.28	68;101;99;99;99;102;102;102;102
NGC6822		296.23583	-14.78917	23.36	11.95	0.28	67.0	-54.50	23.20	-1.05	late-type	0.49	68;105;99;99;99;106;106;19;19
Peg-dIrr	352.15125	14.74306	24.40	3.81	0.56	126.3	-179.50	12.30	-1.39	late-type	0.56	68;107;99;99;99;106;106;19;19
WLM		0.49250		-15.46083	24.85	4.10	0.54	177.0	-130.00	17.50	-1.14	late-type	0.39	68;68;99;99;99;108;108;108;108
Sg-dIrr		292.49583	-17.68083	25.14	1.43	0.56	86.9	-78.40	9.40	-1.90	late-type	NaN	68e;109;99;99;99;100;100;100;-
UGC4879		139.00917	52.84000	25.61	1.13	0.43	81.2	-29.20	9.60	-1.43	late-type	0.52	68e;110;99;99;99;106;106;19;19
NGC3109		150.77875	-26.15972	25.57	4.30	0.82	91.5	403.00	NaN	-1.84	late-type	NaN	68e;68e;68e;68e;68e;68e;-;68e;-
SextansA	152.75333	-4.69278	25.77	1.80	0.00	0.0	324.00	NaN	-1.45	late-type	NaN	68e;111;111;111;111;68;-;112;-
M33		23.46208	30.66028	24.80	NaN	0.41	23.0	-180.00	NaN	NaN	spiral	NaN	68e;113;-;68;68;114;-;-;-
SextansB	150.00042	5.33222		25.80	1.90	0.31	95.0	304.00	NaN	-1.60	late-type	NaN	68e;111;111;111;111;68;-;111;-
